Year	Model	Data	Forcing
1888.583333000	-0.240303814	4.000000E-02	-1.863016E-02
1888.666667000	-0.290416359	2.566667E-01	-1.360285E-02
1888.750000000	-0.289560046	5.666667E-01	-8.575542E-03
1888.833333000	-0.271316944	9.233333E-01	-3.548241E-03
1888.916667000	-0.273020994	9.433333E-01	1.479054E-03
1889.000000000	-0.283976536	7.933333E-01	-3.548772E-03
1889.083333000	-0.173547582	6.700000E-01	-3.700244E-01
1889.166667000	-0.125430947	4.400000E-01	-3.649967E-01
1889.250000000	-0.127178232	2.300000E-01	-3.599690E-01
1889.333333000	-0.136700339	-4.333333E-02	-3.549414E-01
1889.416667000	-0.179647437	-2.966667E-01	-3.499137E-01
1889.500000000	-0.303657102	-5.666667E-01	-3.448860E-01
1889.583333000	-0.383682417	-7.133333E-01	-9.842655E-01
1889.666667000	-0.365122672	-9.166667E-01	-9.792372E-01
1889.750000000	-0.303361275	-1.050000E+00	-9.742088E-01
1889.833333000	-0.239967039	-1.156667E+00	-9.691805E-01
1889.916667000	-0.219833855	-1.393333E+00	-9.641521E-01
1890.000000000	-0.226388627	-1.566667E+00	-9.591238E-01
1890.083333000	-0.082518789	-1.476667E+00	-1.556637E+00
1890.166667000	-0.030550315	-1.093333E+00	-1.551608E+00
1890.250000000	-0.032858029	-8.100000E-01	-1.546579E+00
1890.333333000	-0.026501313	-8.633333E-01	-1.541550E+00
1890.416667000	-0.031413566	-9.600000E-01	-1.536521E+00
1890.500000000	-0.168143228	-1.220000E+00	-1.531492E+00
1890.583333000	-0.497161216	-1.376667E+00	-1.770583E+00
1890.666667000	-0.682076156	-1.436667E+00	-1.765554E+00
1890.750000000	-0.764006674	-1.300000E+00	-1.760524E+00
1890.833333000	-0.807169063	-1.033333E+00	-1.755495E+00
1890.916667000	-0.788445012	-7.700000E-01	-1.750466E+00
1891.000000000	-0.589028982	-4.333333E-01	-1.745437E+00
1891.083333000	-0.191158711	-2.233333E-01	-1.492319E+00
1891.166667000	-0.044594511	-8.333333E-02	-1.487290E+00
1891.250000000	-0.029123449	-6.666667E-02	-1.482262E+00
1891.333333000	-0.021660045	-9.333333E-02	-1.477233E+00
1891.416667000	0.018868658	-2.000000E-01	-1.472204E+00
1891.500000000	0.081693990	-2.766667E-01	-1.467175E+00
1891.583333000	-0.007999515	-3.333333E-01	-7.829707E-01
1891.666667000	-0.074137150	-2.633333E-01	-7.779426E-01
1891.750000000	-0.112680707	-1.800000E-01	-7.729145E-01
1891.833333000	-0.156448089	-9.000000E-02	-7.678863E-01
1891.916667000	-0.183426125	-2.066667E-01	-7.628582E-01
1892.000000000	-0.202555378	-2.900000E-01	-7.578301E-01
1892.083333000	-0.377378371	-4.533333E-01	4.873897E-03
1892.166667000	-0.450681728	-5.300000E-01	-1.539328E-04
1892.250000000	-0.478005507	-6.000000E-01	4.873359E-03
1892.333333000	-0.475915635	-6.166667E-01	-1.544705E-04
1892.416667000	-0.456657077	-6.233333E-01	4.872821E-03
1892.500000000	-0.368039910	-7.500000E-01	-1.550083E-04
1892.583333000	-0.349573798	-9.566667E-01	4.182274E-01
1892.666667000	-0.421090696	-1.190000E+00	4.131992E-01
1892.750000000	-0.501804006	-1.363333E+00	4.081709E-01
1892.833333000	-0.565248193	-1.210000E+00	4.031426E-01
1892.916667000	-0.626685643	-9.233333E-01	3.981144E-01
1893.000000000	-0.600510905	-6.333333E-01	3.930861E-01
1893.083333000	-0.290596351	-6.366667E-01	-1.029789E-01
1893.166667000	-0.186332237	-8.200000E-01	-9.795147E-02
1893.250000000	-0.196453123	-1.050000E+00	-9.292407E-02
1893.333333000	-0.198461901	-1.243333E+00	-8.789668E-02
1893.416667000	-0.225410690	-1.426667E+00	-8.286929E-02
1893.500000000	-0.349219513	-1.573333E+00	-7.784191E-02
1893.583333000	-0.430941338	-1.653333E+00	-9.229936E-01
1893.666667000	-0.452188298	-1.593333E+00	-9.179653E-01
1893.750000000	-0.435967968	-1.493333E+00	-9.129370E-01
1893.833333000	-0.396952257	-1.326667E+00	-9.079087E-01
1893.916667000	-0.387027151	-1.216667E+00	-9.028805E-01
1894.000000000	-0.424686748	-1.176667E+00	-8.978522E-01
1894.083333000	-0.309534831	-1.176667E+00	-1.728125E+00
1894.166667000	-0.220209921	-1.116667E+00	-1.723095E+00
1894.250000000	-0.194644878	-1.033333E+00	-1.718066E+00
1894.333333000	-0.213127860	-9.933333E-01	-1.713037E+00
1894.416667000	-0.278791557	-9.800000E-01	-1.708008E+00
1894.500000000	-0.349855913	-9.300000E-01	-1.702979E+00
1894.583333000	-0.283728704	-1.030000E+00	-2.067173E+00
1894.666667000	-0.251076763	-1.033333E+00	-2.062144E+00
1894.750000000	-0.243579185	-1.080000E+00	-2.057114E+00
1894.833333000	-0.231334962	-8.533333E-01	-2.052085E+00
1894.916667000	-0.201877013	-7.900000E-01	-2.047055E+00
1895.000000000	-0.108709180	-6.166667E-01	-2.042026E+00
1895.083333000	0.020680063	-5.766667E-01	-1.801259E+00
1895.166667000	-0.012284396	-4.600000E-01	-1.796229E+00
1895.250000000	-0.129667353	-4.466667E-01	-1.791200E+00
1895.333333000	-0.252048975	-4.766667E-01	-1.786171E+00
1895.416667000	-0.323728113	-5.100000E-01	-1.781142E+00
1895.500000000	-0.297202388	-3.700000E-01	-1.776112E+00
1895.583333000	-0.277133314	-2.133333E-01	-1.129378E+00
1895.666667000	-0.232476921	-1.166667E-01	-1.124349E+00
1895.750000000	-0.153403878	-1.300000E-01	-1.119321E+00
1895.833333000	-0.051080551	-9.333333E-02	-1.114292E+00
1895.916667000	0.081138968	-6.666667E-02	-1.109264E+00
1896.000000000	0.117111870	-1.033333E-01	-1.104235E+00
1896.083333000	-0.267640366	-1.066667E-01	-2.318233E-01
1896.166667000	-0.459337267	-1.000000E-01	-2.267958E-01
1896.250000000	-0.495308509	-7.333333E-02	-2.217682E-01
1896.333333000	-0.493458073	-2.233333E-01	-2.167407E-01
1896.416667000	-0.441023813	-1.266667E-01	-2.117132E-01
1896.500000000	-0.295039403	6.000000E-02	-2.066857E-01
1896.583333000	-0.136586026	3.666667E-01	2.518230E-01
1896.666667000	-0.029494755	4.533333E-01	2.467949E-01
1896.750000000	0.032789997	4.733333E-01	2.417668E-01
1896.833333000	0.060726539	5.200000E-01	2.367388E-01
1896.916667000	0.050679674	5.800000E-01	2.317107E-01
1897.000000000	0.034658554	5.800000E-01	2.266826E-01
1897.083333000	0.121196837	4.433333E-01	-6.640706E-02
1897.166667000	0.160933443	1.733333E-01	-6.137970E-02
1897.250000000	0.146872258	-9.333333E-02	-5.635234E-02
1897.333333000	0.107548846	-2.433333E-01	-5.132498E-02
1897.416667000	0.012288547	-1.933333E-01	-4.629764E-02
1897.500000000	-0.188859380	-1.400000E-01	-4.127030E-02
1897.583333000	-0.335676571	-1.066667E-01	-8.424491E-01
1897.666667000	-0.374931804	-2.400000E-01	-8.374209E-01
1897.750000000	-0.351449056	-4.400000E-01	-8.323927E-01
1897.833333000	-0.295016388	-5.866667E-01	-8.273645E-01
1897.916667000	-0.254215306	-6.666667E-01	-8.223363E-01
1898.000000000	-0.248630083	-6.033333E-01	-8.173081E-01
1898.083333000	-0.138094870	-5.900000E-01	-1.501508E+00
1898.166667000	-0.118369446	-4.700000E-01	-1.496479E+00
1898.250000000	-0.140315182	-4.633333E-01	-1.491450E+00
1898.333333000	-0.146845914	-4.333333E-01	-1.486421E+00
1898.416667000	-0.151307671	-5.166667E-01	-1.481392E+00
1898.500000000	-0.173925391	-6.400000E-01	-1.476363E+00
1898.583333000	-0.175726250	-7.133333E-01	-1.791363E+00
1898.666667000	-0.253290287	-6.666667E-01	-1.786334E+00
1898.750000000	-0.360634095	-6.200000E-01	-1.781305E+00
1898.833333000	-0.454503210	-6.700000E-01	-1.776276E+00
1898.916667000	-0.501659940	-8.533333E-01	-1.771246E+00
1899.000000000	-0.384082333	-8.866667E-01	-1.766217E+00
1899.083333000	-0.061893781	-8.466667E-01	-1.526875E+00
1899.166667000	0.035522497	-6.633333E-01	-1.521846E+00
1899.250000000	0.007179478	-4.800000E-01	-1.516817E+00
1899.333333000	-0.025087527	-3.733333E-01	-1.511788E+00
1899.416667000	-0.019101994	-2.633333E-01	-1.506759E+00
1899.500000000	0.032728565	-1.666667E-01	-1.501730E+00
1899.583333000	0.036418108	-1.000000E-01	-1.091338E+00
1899.666667000	0.059954613	1.066667E-01	-1.086309E+00
1899.750000000	0.087518413	3.400000E-01	-1.081281E+00
1899.833333000	0.102699838	7.000000E-01	-1.076252E+00
1899.916667000	0.131977152	7.500000E-01	-1.071224E+00
1900.000000000	0.168260695	7.000000E-01	-1.066195E+00
1900.083333000	0.061103225	5.600000E-01	-4.731528E-01
1900.166667000	-0.004340070	4.733333E-01	-4.681250E-01
1900.250000000	-0.039190093	3.733333E-01	-4.630972E-01
1900.333333000	-0.077555790	2.766667E-01	-4.580694E-01
1900.416667000	-0.110982189	2.266667E-01	-4.530417E-01
1900.500000000	-0.134713452	2.200000E-01	-4.480139E-01
1900.583333000	-0.170456637	2.166667E-01	-2.961570E-01
1900.666667000	-0.138068110	2.300000E-01	-2.911293E-01
1900.750000000	-0.069507299	2.033333E-01	-2.861017E-01
1900.833333000	-0.007860107	3.333333E-01	-2.810741E-01
1900.916667000	0.012195330	4.433333E-01	-2.760465E-01
1901.000000000	-0.003222355	4.633333E-01	-2.710189E-01
1901.083333000	0.043018466	3.166667E-01	-5.567407E-01
1901.166667000	0.038203374	1.333333E-01	-5.517128E-01
1901.250000000	0.010745612	2.333333E-02	-5.466849E-01
1901.333333000	-0.004522394	-1.300000E-01	-5.416570E-01
1901.416667000	-0.036132507	-2.500000E-01	-5.366291E-01
1901.500000000	-0.114407641	-2.900000E-01	-5.316012E-01
1901.583333000	-0.114041099	-3.400000E-01	-1.138496E+00
1901.666667000	-0.098324203	-3.566667E-01	-1.133468E+00
1901.750000000	-0.088830545	-4.433333E-01	-1.128439E+00
1901.833333000	-0.079987703	-4.166667E-01	-1.123411E+00
1901.916667000	-0.084939451	-4.733333E-01	-1.118382E+00
1902.000000000	-0.095939124	-4.000000E-01	-1.113354E+00
1902.083333000	-0.027398040	-4.000000E-01	-1.487568E+00
1902.166667000	-0.028889039	-1.566667E-01	-1.482539E+00
1902.250000000	-0.064153390	9.000000E-02	-1.477510E+00
1902.333333000	-0.084688916	3.733333E-01	-1.472481E+00
1902.416667000	-0.083700779	5.000000E-01	-1.467452E+00
1902.500000000	-0.090896734	4.833333E-01	-1.462423E+00
1902.583333000	-0.150783894	5.966667E-01	-1.379386E+00
1902.666667000	-0.153338971	6.266667E-01	-1.374357E+00
1902.750000000	-0.116788030	6.866667E-01	-1.369328E+00
1902.833333000	-0.072975558	5.800000E-01	-1.364300E+00
1902.916667000	-0.026140801	5.600000E-01	-1.359271E+00
1903.000000000	-0.025853410	6.266667E-01	-1.354242E+00
1903.083333000	-0.193134783	6.966667E-01	-9.635861E-01
1903.166667000	-0.260591888	6.166667E-01	-9.585578E-01
1903.250000000	-0.265253469	3.633333E-01	-9.535295E-01
1903.333333000	-0.269982035	2.700000E-01	-9.485011E-01
1903.416667000	-0.262696093	6.333333E-02	-9.434728E-01
1903.500000000	-0.200196255	7.333333E-02	-9.384445E-01
1903.583333000	-0.134727518	-1.633333E-01	-5.339108E-01
1903.666667000	-0.123122701	-1.666667E-01	-5.288830E-01
1903.750000000	-0.129323473	-3.333333E-01	-5.238551E-01
1903.833333000	-0.125573666	-4.166667E-01	-5.188272E-01
1903.916667000	-0.101992978	-6.466667E-01	-5.137994E-01
1904.000000000	-0.072205008	-6.900000E-01	-5.087715E-01
1904.083333000	-0.092373975	-6.566667E-01	-3.968686E-01
1904.166667000	-0.127870345	-4.700000E-01	-3.918409E-01
1904.250000000	-0.146614987	-4.933333E-01	-3.868132E-01
1904.333333000	-0.144973530	-4.233333E-01	-3.817855E-01
1904.416667000	-0.155717260	-2.833333E-01	-3.767578E-01
1904.500000000	-0.276971803	-6.000000E-02	-3.717301E-01
1904.583333000	-0.508055965	-1.333333E-02	-6.260906E-01
1904.666667000	-0.538363774	1.200000E-01	-6.210626E-01
1904.750000000	-0.464901939	-1.333333E-02	-6.160346E-01
1904.833333000	-0.384131481	1.800000E-01	-6.110067E-01
1904.916667000	-0.334670710	1.400000E-01	-6.059787E-01
1905.000000000	-0.305009685	4.800000E-01	-6.009508E-01
1905.083333000	-0.156420066	5.033333E-01	-1.138290E+00
1905.166667000	-0.080118832	4.933333E-01	-1.133261E+00
1905.250000000	-0.056333898	4.666667E-01	-1.128233E+00
1905.333333000	-0.046026995	3.566667E-01	-1.123204E+00
1905.416667000	-0.063844173	4.600000E-01	-1.118176E+00
1905.500000000	-0.092469687	4.466667E-01	-1.113147E+00
1905.583333000	-0.003460856	6.866667E-01	-1.566182E+00
1905.666667000	0.029154260	6.266667E-01	-1.561153E+00
1905.750000000	0.021811923	5.566667E-01	-1.556124E+00
1905.833333000	0.017070486	4.333333E-01	-1.551095E+00
1905.916667000	0.000950014	3.366667E-01	-1.546066E+00
1906.000000000	-0.139761451	3.466667E-01	-1.541037E+00
1906.083333000	-0.473457208	4.366667E-01	-1.665120E+00
1906.166667000	-0.609954302	4.800000E-01	-1.660091E+00
1906.250000000	-0.624787420	3.433333E-01	-1.655062E+00
1906.333333000	-0.608433725	5.666667E-02	-1.650033E+00
1906.416667000	-0.534145524	-7.000000E-02	-1.645004E+00
1906.500000000	-0.317597878	-3.666667E-02	-1.639975E+00
1906.583333000	-0.050978082	-2.933333E-01	-1.059976E+00
1906.666667000	0.018953138	-5.233333E-01	-1.054947E+00
1906.750000000	-0.006925337	-6.066667E-01	-1.049919E+00
1906.833333000	-0.051429672	-4.466667E-01	-1.044890E+00
1906.916667000	-0.081090757	-2.900000E-01	-1.039862E+00
1907.000000000	-0.078684429	-3.000000E-01	-1.034833E+00
1907.083333000	-0.149181485	-2.933333E-01	-4.673465E-01
1907.166667000	-0.186770092	-3.066667E-01	-4.623187E-01
1907.250000000	-0.179017586	-3.300000E-01	-4.572909E-01
1907.333333000	-0.142686412	-3.133333E-01	-4.522631E-01
1907.416667000	-0.075128776	-3.166667E-01	-4.472353E-01
1907.500000000	-0.048144828	-3.266667E-01	-4.422076E-01
1907.583333000	-0.254515721	-2.933333E-01	9.235048E-02
1907.666667000	-0.352151535	-3.533333E-01	8.732255E-02
1907.750000000	-0.356385330	-3.566667E-01	8.229463E-02
1907.833333000	-0.342914682	-3.933333E-01	7.726672E-02
1907.916667000	-0.345238270	-3.466667E-01	7.223881E-02
1908.000000000	-0.336705405	-2.600000E-01	6.721091E-02
1908.083333000	-0.207332066	-3.000000E-01	-2.610283E-01
1908.166667000	-0.184492727	-2.433333E-01	-2.560007E-01
1908.250000000	-0.232989484	-2.800000E-01	-2.509731E-01
1908.333333000	-0.302518078	-3.300000E-01	-2.459456E-01
1908.416667000	-0.405987411	-4.566667E-01	-2.409180E-01
1908.500000000	-0.478311308	-5.800000E-01	-2.358905E-01
1908.583333000	-0.296843749	-5.800000E-01	-8.481034E-01
1908.666667000	-0.214532833	-5.533333E-01	-8.430752E-01
1908.750000000	-0.218405851	-6.466667E-01	-8.380470E-01
1908.833333000	-0.240847859	-7.600000E-01	-8.330188E-01
1908.916667000	-0.302935609	-7.400000E-01	-8.279906E-01
1909.000000000	-0.373835712	-6.766667E-01	-8.229624E-01
1909.083333000	-0.221509351	-5.400000E-01	-1.699934E+00
1909.166667000	-0.183409401	-5.166667E-01	-1.694905E+00
1909.250000000	-0.254441109	-3.300000E-01	-1.689876E+00
1909.333333000	-0.364097366	-4.566667E-01	-1.684847E+00
1909.416667000	-0.494259686	-6.166667E-01	-1.679818E+00
1909.500000000	-0.542118143	-9.533333E-01	-1.674789E+00
1909.583333000	-0.328566802	-9.633333E-01	-2.054592E+00
1909.666667000	-0.285968138	-1.043333E+00	-2.049562E+00
1909.750000000	-0.341370720	-1.096667E+00	-2.044533E+00
1909.833333000	-0.386902633	-1.116667E+00	-2.039503E+00
1909.916667000	-0.410090551	-1.090000E+00	-2.034474E+00
1910.000000000	-0.418130650	-9.233333E-01	-2.029444E+00
1910.083333000	-0.421181780	-9.066667E-01	-2.019556E+00
1910.166667000	-0.430694855	-9.433333E-01	-2.014527E+00
1910.250000000	-0.443905129	-1.070000E+00	-2.009498E+00
1910.333333000	-0.446028379	-1.183333E+00	-2.004468E+00
1910.416667000	-0.380143529	-1.153333E+00	-1.999439E+00
1910.500000000	-0.214937163	-1.140000E+00	-1.994409E+00
1910.583333000	-0.191924607	-1.203333E+00	-1.035724E+00
1910.666667000	-0.262332036	-1.233333E+00	-1.030695E+00
1910.750000000	-0.335328339	-1.196667E+00	-1.025667E+00
1910.833333000	-0.379420484	-1.003333E+00	-1.020639E+00
1910.916667000	-0.357593826	-8.166667E-01	-1.015610E+00
1911.000000000	-0.282004178	-6.500000E-01	-1.010582E+00
1911.083333000	-0.365143458	-6.233333E-01	-2.226285E-01
1911.166667000	-0.426812864	-7.500000E-01	-2.176010E-01
1911.250000000	-0.445200146	-8.166667E-01	-2.125735E-01
1911.333333000	-0.433989804	-8.633333E-01	-2.075459E-01
1911.416667000	-0.348507950	-7.733333E-01	-2.025184E-01
1911.500000000	-0.162132629	-8.966667E-01	-1.974909E-01
1911.583333000	-0.071569141	-8.066667E-01	5.635517E-01
1911.666667000	-0.055493816	-7.233333E-01	5.585233E-01
1911.750000000	-0.057898376	-3.100000E-01	5.534949E-01
